"B1_Bayes" "B2_Bayes" "B3_Bayes" "SD1_Bayes" "SD2_Bayes" "SD3_Bayes" "CI1_Bayes" "CI2_Bayes" "CI3_Bayes" "N1" "N2" "N3" "B1_SeBR" "B2_SeBR" "B3_SeBR" "SD1_SeBRs" "SD2_SeBR" "SD3_SeBR" "CI1_SeBR" "CI2_SeBR" "CI3_SeBR" "IMSEBuLTM" "IMSESeBR" "MAEBuLTM" "MAEBuLTM2" "MAESeBR"
0.710473837462537 0.560274635616508 0.374080852315847 0.0746184370876347 0.150783592028779 0.114409441913623 1 1 1 93 512 305 0.550101983368558 0.431188429681038 0.398378951098925 0.111151848749681 0.14921390092689 0.12476267519416 1 1 1 0.00430461346966099 0.00454533582557257 1.04881965820238 1.23978732944599 1.04103784347489
0.700032439277223 0.591814941247848 0.373682830769772 0.0682031220309802 0.091208091020225 0.0842925767550461 1 1 0 653 945 1060 0.601319414014455 0.419828738878302 0.418344249517238 0.105632393518549 0.1372665031431 0.107269114441858 1 1 1 0.00409891561312412 0.00574735327312026 1.05522399986581 1.17326860505628 1.13142882726632
0.520845920471756 0.498499770408558 0.668604256374409 0.0879806729952099 0.129571130991011 0.0930853163491395 1 1 1 7 5 6 0.387468742824455 0.501751917582236 0.384217672749307 0.105566100891095 0.151696660164067 0.135462443859573 1 1 1 0.00320568150172985 0.00564441515829102 1.04351091271421 1.66176335952701 1.10990903922908
0.663159093823397 0.395348691261678 0.607652253914056 0.105524416307851 0.137124839090448 0.0689072905224036 1 1 1 773 1047 744 0.517660783355362 0.341034358651589 0.56626586857234 0.114698837744548 0.14060141289693 0.115654664309036 1 1 1 0.00291563845398743 0.00534127462343171 0.856604382382416 1.05265577315841 0.873114426127531
0.58200854863801 0.463269203122114 0.648730671268032 0.0807681219250658 0.114212942123997 0.0789593306992889 1 1 1 1690 2205 1132 0.579595515467466 0.355608496769072 0.430710810122001 0.11252815900652 0.138603764048784 0.11152197419071 1 1 1 0.00297607849687984 0.00545852570293761 1.09635418303844 1.85140065815181 1.15462805010689
0.473116008858552 0.782688757508015 0.378055201366639 0.0842990963935294 0.0740648709509379 0.0897052547740296 1 0 0 1030 564 1582 0.290030667524239 0.926512850079367 0.0704963124804656 0.108031571390828 0.148438708384696 0.114818368414597 1 1 1 0.00313214484373228 0.006664626591991 0.500385873412635 1.82385057428299 0.630106850666397
0.654601796395349 0.496885920795634 0.558737767768424 0.0539859789290648 0.0805081537835887 0.0549548179310409 1 1 1 610 811 599 0.522440872662427 0.370146075527753 0.496740394486033 0.117155290072675 0.134455855673052 0.108235069356094 1 1 1 0.00393779420027682 0.00612019086784143 0.973218091620288 1.29998307421078 1.02362107235411
0.492295543054778 0.566061818232393 0.639091545585672 0.0862023644191298 0.114840944156355 0.090382628751327 1 1 1 850 1400 739 0.229511805706286 0.377908709265337 0.631549286626506 0.111912795292191 0.139709020990644 0.113924200842784 1 1 1 0.0034010259648162 0.00601380511074746 1.19627005829752 2.05122038256214 1.08811092087644
0.476638796670565 0.756013716489609 0.422050446220234 0.0726815502011649 0.0789845177629188 0.107781081495082 1 1 1 1290 1107 1099 0.581903725733141 0.274572575878682 0.576068377748795 0.104636387225194 0.135584548919486 0.120230152060218 1 1 1 0.003836033158822 0.00454258437205162 0.973408082618352 2.21261401832528 1.06408563978597
0.544166938179156 0.296863042504295 0.772765717938799 0.0699360951390573 0.107225370707501 0.0469481965293453 1 0 0 1341 2244 1065 0.500163996197159 0.274830941634731 0.830876302165537 0.119322345623504 0.131929685463861 0.116595604169223 1 1 1 0.00592680557805477 0.00672537609221762 0.477031557003484 1.8287200873171 0.604446488379774
