"MAE" "CP" "Length"
0.330414252462834 0.948717948717949 0.63
0.333042733787886 1 0.0600000000000003
0.32286904284741 0.974358974358974 0.13
0.365841758349317 0.923076923076923 0.48
0.266703267134877 0.948717948717949 0.525
0.312373786043772 0.974358974358974 0.59
0.364376866009737 0.871794871794872 1.77
0.29632880316523 0.974358974358974 0.63
0.318996745041887 1 2.095
0.308131518685366 0.948717948717949 1.2
