"MAE" "CP" "Length"
0.225867038524811 0.564102564102564 1.37783494900707
0.259359594056089 0.538461538461538 1.46331980157914
0.357025521775101 0.384615384615385 1.51753938927238
0.384216044407944 0.461538461538462 1.59540006840305
0.287377640661575 0.487179487179487 1.4726913518437
0.182283111055122 0.58974358974359 1.43759140388695
0.305269540592609 0.461538461538462 1.46169677866798
0.299103499384502 0.435897435897436 1.41428515627417
0.295799528108662 0.666666666666667 1.6146580852147
0.277230327809453 0.538461538461539 1.571556424657
