"MAE" "CP" "Length"
0.271713337908083 0.897435897435897 1.42974358974359
0.295724521802764 0.974358974358974 1.91512820512821
0.306780922167182 0.948717948717949 1.68871794871795
0.473485046789624 0.846153846153846 1.92538461538462
0.331031890738417 0.897435897435897 1.68897435897436
0.189408994908891 1 1.77410256410256
0.300733079205244 1 1.7174358974359
0.311002846374771 0.948717948717949 1.76692307692308
0.30861390780099 0.974358974358974 2.03692307692308
0.296419855431532 1 1.87897435897436
