"V1" "V2" "V3"
0.249080966494116 0.923076923076923 1.17543068418716
0.250181035481233 0.948717948717949 1.30640285948958
0.305260865954093 0.948717948717949 1.23292221492808
0.430481677150086 0.743589743589744 1.26102142084343
0.322223577712299 0.846153846153846 1.21036700508666
0.180765099160957 1 1.26577145530668
0.323833075249165 0.897435897435897 1.27064443656786
0.29380830137482 0.871794871794872 1.22051865854176
0.304918115741804 0.923076923076923 1.348807444603
0.298020512273077 0.897435897435897 1.25718996981331
