"MAE" "CP" "Length"
0.212823862129012 0.948717948717949 1.48153846153846
0.260185332878463 1 1.69461538461538
0.29813907478993 0.948717948717949 1.68307692307692
0.339237427526888 0.974358974358974 1.85948717948718
0.291070942706681 0.897435897435897 1.70128205128205
0.181500675641105 1 1.55076923076923
0.269053280077571 0.974358974358974 1.71923076923077
0.275038908157914 0.974358974358974 1.55051282051282
0.279514877138157 0.974358974358974 1.85769230769231
0.248271342903849 0.974358974358974 1.75153846153846
