"MAE" "CP" "Length"
0.218619878913044 0.512820512820513 1.2953161284082
0.254923810357595 0.512820512820513 1.43649640102262
0.293831722438284 0.358974358974359 1.46698693234222
0.347391659797105 0.461538461538461 1.61373623050585
0.284512056670226 0.384615384615385 1.39905127073813
0.172030005005874 0.58974358974359 1.35602286429623
0.281685655142234 0.435897435897436 1.46466991938571
0.267567516255282 0.512820512820513 1.32924722162228
0.296004566272128 0.615384615384615 1.53965221976382
0.251210064874703 0.487179487179487 1.51276358118795
