"MAE" "CP" "Length"
0.290654960561199 0.923076923076923 1.39754328730306
0.326093159000031 0.897435897435897 1.4894230709287
0.274991283899738 0.948717948717949 1.46657406179084
0.438368925291115 0.82051282051282 1.53250101588916
0.411282037179634 0.846153846153846 1.4630896758361
0.306164186564014 0.897435897435897 1.45945185763761
0.35523542946888 0.948717948717949 1.54229823416109
0.370604248218417 0.871794871794872 1.41572266315344
0.349275538213008 0.871794871794872 1.54459301771939
0.363408845494752 0.923076923076923 1.47819504673304
