"MAE" "CP" "Length"
0.296661363897251 0.923076923076923 1.33513723469347
0.339805231121744 0.923076923076923 1.44192473632563
0.298030877324653 0.948717948717949 1.43724371287158
0.34614166118402 0.897435897435897 1.53632040674292
0.33337434307814 0.923076923076923 1.4144345693167
0.264279843958476 0.948717948717949 1.39952149123179
0.342443642605175 0.871794871794872 1.46909832370497
0.317988660181986 0.948717948717949 1.31496357467921
0.327860544345807 0.948717948717949 1.49015639665266
0.357440753318952 0.948717948717949 1.41723990034112
